country_long,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,5.211234793724639,5.247554418669901,5.364024330928559,5.73167144665661,5.84442226571736,6.12290112862944,5.99835602162253,6.32557670903134,6.016768059376661,6.47694667440346,6.1594996902832495,6.3172942666249,6.331081659966719,6.27684109501799,5.7842171906639805,5.81064068180991,5.92108199982649,6.25402079970694
Belize,2.0778772719431697,1.98180550103473,1.89289903053877,1.5912279940401295,1.6561075130903,1.75054404162862,1.77239149118319,1.6296093500466102,4.64000254246715,1.73662257919464,1.93800797005778,2.04141407865657,1.44631147185333,1.3866642517955905,1.8286296914048896,1.7643913257093502,1.7297584991018602,1.77512784836231
Bermuda,,,,,,,,,,,,,,,,,,
Bolivia,0.919554269086054,0.9413436531133772,1.02292658059561,1.03869823544797,1.090735668172,1.18780911907456,1.25962003415202,1.3393054148159098,1.40316587403475,1.49672635891359,1.6106999827963502,1.66222170915514,1.76051411565231,1.88389931104579,1.8776911887064,1.95887859684466,1.9878756560101296,2.00032766265544
Brazil,1.80342619486481,1.76720718153163,1.7015086427618602,1.77580703557726,1.77572199746423,1.77490938079997,1.84883593997795,1.9380268626479,1.8094606429673896,2.0322038162317697,2.11184451477929,2.26687811082304,2.4018595205759903,2.49936201612059,2.34736573083425,2.14349752363003,2.16442150357383,2.04187419904738
Barbados,4.8441433572849295,5.01055141666941,5.030419456787599,4.94037045513163,5.13896931094383,5.297774574285969,5.3103505190149995,6.35836911404342,16.4350229627864,5.635679879205049,5.9013311565549005,7.78997384542718,5.20587842163394,4.52909681383306,4.52112838953201,4.58365698850237,4.19244730617792,4.36087077867709
Brunei Darussalam,12.6750912400709,12.572921502867802,14.8601027469961,13.6881875392979,13.2014286027301,19.4997056138626,18.241605261263,19.0291446373129,19.3538976092857,17.6515693428779,17.8060235669453,17.869808544926396,17.3584495096609,17.0092098648537,14.4126252669228,15.269503157523598,15.807539088910902,16.644908616187998
Bhutan,0.596378985592478,0.6493242969035351,0.5733944954128439,0.485278072162415,0.631990430740014,0.608453857901686,0.586578188616473,0.59558285972088,0.5454580299530171,0.6856289259549939,0.966396796755215,1.08326610431853,1.19678697895767,1.30727498529316,1.3188896597676798,1.66959411216958,1.78388680768761,1.82927799192997
Botswana,2.3108975239359997,2.36413969660403,2.2601645422849703,2.24861274187455,2.37899767491886,2.22777683667672,2.30343734703736,2.2916671016832004,2.09368337262189,1.69593368446374,1.98471176527211,2.51525948603394,2.69569091867304,3.4137389346740603,3.39979516352025,3.2964107550030697,3.5690379832713197,3.64230521985371
Central African Republic,0.0671679004066613,0.0657526349053386,0.0618367843841507,0.0606078512925761,0.0594297713439548,0.0631362954778628,0.061934195393811,0.0608419401277868,0.0599406633540997,0.061548772272962,0.0656310687521655,0.0676222288692369,0.0674468771533821,0.0672017268155723,0.0689935904954429,0.0683168039724238,0.0674496189422899,0.0707187056333878
